Credit Card Number,Transaction Value,Transaction Location,Establishment Type,Transaction Time,Day of the Week,Expense Category,Cardholder Age,Cardholder Gender,Payment History,Card Limit,Current Balance,Previous Transactions,Supplementary Cards,Avg Previous Transaction Value,Foreign Transactions,Credit Utilization,Previous Suspicious Transactions,Time Since Last Transaction (days),Class (Fraud)
7824175924688047,4690.79,Boston,Online Retailer,18:29,Sunday,Shopping,32,Male,Poor,12456,3297.51,23,0,313.39,9,0.99,4,9,0
4987033617588998,1987.45,Chicago,Hotel,04:05,Friday,Health,31,Male,Average,8427,7782.27,23,3,149.73,2,0.34,1,1,0
1140291578112137,3108.71,Houston,Online Retailer,01:30,Sunday,Travel,22,Male,Average,5989,5698.29,34,1,176.96,9,0.93,4,11,0
4881081634690646,4209.28,San Francisco,Gas Station,01:14,Wednesday,Utilities,26,Male,Average,8511,14093.68,40,3,77.8,9,0.53,4,14,0
0007829444046905,2474.19,Seattle,Restaurant,15:13,Tuesday,Shopping,54,Female,Poor,7478,14809.93,33,0,181.68,6,0.24,1,26,0
3737414672784418,3247.19,Denver,Restaurant,21:27,Saturday,Entertainment,72,Male,Poor,14077,1091.85,1,0,178.43,2,0.37,2,10,0
1954541733526570,4785.05,Chicago,Online Retailer,02:23,Wednesday,Travel,54,Non-binary,Average,12618,10490.42,49,1,366.74,2,0.52,1,0,0
0557306459709961,1540.18,Boston,Electronics Store,11:40,Sunday,Utilities,78,Non-binary,Average,15397,12623.52,3,1,423.73,6,0.5,4,7,0
9601023647134663,2075.01,Miami,Hotel,18:32,Thursday,Utilities,22,Non-binary,Good,19283,4934.98,3,1,178.8,0,0.66,0,12,1
3068051079264101,3373.76,Denver,Gas Station,05:09,Tuesday,Utilities,64,Male,Average,19899,12193.38,3,0,99.35,9,0.0,3,6,0
9428092152366956,4869.94,New York,Cinema,12:02,Tuesday,Utilities,72,Non-binary,Average,19792,10508.96,45,1,220.78,6,0.13,4,4,0
8850669293270814,1336.6,Seattle,Gym,21:31,Sunday,Travel,76,Non-binary,Poor,10588,10739.3,9,4,315.32,3,0.46,0,4,0
3699675616298642,2729.05,Los Angeles,Pharmacy,14:39,Tuesday,Shopping,36,Male,Poor,7482,6758.41,38,0,228.48,6,0.32,2,20,0
1908154882541440,2395.39,New York,Restaurant,18:12,Thursday,Entertainment,73,Non-binary,Good,8916,9436.15,33,0,23.15,0,0.88,0,17,0
1159777041393352,3832.42,San Francisco,Pharmacy,14:53,Wednesday,Entertainment,39,Non-binary,Good,13705,13723.6,25,3,315.04,0,0.58,1,1,0
8959681594361860,370.76,Chicago,Gas Station,20:23,Tuesday,Shopping,30,Female,Average,17408,1487.82,15,0,86.63,2,0.08,0,27,0
5941688708134035,3029.61,New York,Gym,09:07,Thursday,Utilities,65,Male,Average,10182,7732.89,48,1,291.27,8,0.78,4,16,0
8071501399453172,3590.11,Boston,Electronics Store,17:06,Tuesday,Food,54,Male,Average,14578,6322.85,37,3,217.96,5,0.64,3,22,0
4090574270097447,1959.79,Los Angeles,Online Retailer,17:50,Tuesday,Travel,59,Non-binary,Average,7268,11984.68,22,1,24.75,7,0.61,4,11,0
5046614500096787,2325.4,Miami,Clothing Store,06:30,Tuesday,Health,74,Male,Good,10581,2077.3,28,3,99.23,3,0.49,0,13,0
9331355781398895,4486.19,New York,Online Retailer,08:44,Tuesday,Utilities,74,Non-binary,Poor,8203,3164.63,37,2,70.55,0,0.9,3,7,0
5283091968905823,3722.53,Seattle,Clothing Store,20:52,Wednesday,Travel,54,Female,Poor,4465,1509.04,0,1,325.38,6,0.7,0,17,0
2135886755194045,573.26,Miami,Pharmacy,13:06,Wednesday,Travel,20,Male,Poor,9092,9028.96,9,3,205.51,7,0.76,3,14,0
5365584209168880,2697.97,Miami,Cinema,13:50,Tuesday,Utilities,25,Non-binary,Good,17274,11672.79,11,1,7.66,1,0.93,3,14,1
8367919044913708,128.02,Boston,Supermarket,18:08,Thursday,Travel,18,Female,Good,13968,14642.24,40,4,56.34,7,0.49,0,16,0
7620821730996523,4231.71,New York,Gas Station,06:02,Friday,Entertainment,68,Female,Good,14673,11789.21,47,4,406.9,6,0.44,4,11,0
6224100523437499,4286.03,New York,Electronics Store,21:24,Saturday,Entertainment,75,Female,Good,15131,10175.12,28,3,467.61,2,0.9,2,18,0
5862849878838215,50.25,San Francisco,Online Retailer,05:10,Tuesday,Food,39,Female,Good,11269,4556.47,49,1,256.41,0,0.88,2,21,0
9303139799308328,495.14,Denver,Restaurant,13:10,Saturday,Food,26,Non-binary,Poor,15265,3593.89,22,3,202.85,8,0.94,0,15,0
8269765499011895,3313.96,Los Angeles,Gym,13:04,Monday,Food,21,Female,Average,15001,12342.52,33,3,379.47,8,0.91,0,26,0
4737427199522652,35.86,Los Angeles,Electronics Store,19:54,Wednesday,Travel,72,Male,Good,13371,7337.8,29,3,169.09,5,0.55,1,19,0
9032416587748961,8.36,San Francisco,Gas Station,02:17,Monday,Shopping,28,Non-binary,Good,12812,4952.35,46,0,183.88,1,0.48,4,29,0
6319864726677084,4433.73,Miami,Cinema,00:24,Monday,Health,44,Male,Average,18523,6552.14,12,1,396.72,0,0.5,3,17,0
0176924759045324,4577.84,Miami,Cinema,20:06,Wednesday,Food,50,Female,Good,14115,1372.47,23,1,133.43,6,0.14,2,13,0
4374745932850026,3405.56,Miami,Electronics Store,15:46,Sunday,Entertainment,32,Male,Poor,5851,8000.83,16,0,218.74,7,0.83,3,14,0
9574864816300527,1070.42,Seattle,Gas Station,09:03,Monday,Food,54,Female,Good,2308,3006.87,38,2,427.91,2,0.8,4,9,0
4979894738337577,2849.77,Boston,Online Retailer,00:26,Monday,Food,41,Female,Good,1432,1554.68,40,2,461.45,1,0.11,4,20,0
7389836614724702,4095.66,Seattle,Cinema,16:26,Friday,Entertainment,18,Non-binary,Poor,4819,12360.69,40,0,327.09,6,0.43,4,22,0
8804517563955802,3460.2,Boston,Electronics Store,15:50,Monday,Utilities,25,Non-binary,Poor,10153,5422.57,44,1,73.95,8,0.12,0,14,0
2291050040452275,1841.65,New York,Gym,13:48,Sunday,Health,60,Female,Poor,10029,10614.8,6,2,384.66,0,0.07,2,13,0
7744626484199989,4149.92,Los Angeles,Electronics Store,15:52,Thursday,Shopping,59,Male,Poor,9998,14245.97,41,3,87.22,5,0.37,2,12,0
